Synthetic_D_ORIXCOOR,Synthetic_D_ORIYCOOR,Synthetic_D_DESTXCOOR,Synthetic_D_DESTYCOOR,Synthetic_P_SEXE,Synthetic_P_GRAGE,Synthetic_D_HREDE
334262.93182373047,1759827.8855979445,251396.6028690338,1621369.2799806595,1,62,23.496061987501854
233355.2782535553,1803086.824208498,257354.77256774905,4302371.7195391655,2,42,5.3877542411264026
378994.3461418152,3982204.43880558,165589.213848114,1815592.8831398487,1,24,10.771864397293326
275309.2293739319,1556016.1612033844,426469.123840332,2505034.1860353947,2,66,21.111757751606945
409033.7638854981,2878566.757977009,345634.53245162964,2561093.0875837803,1,27,15.284289485185132
254601.0558605194,2517020.790278912,324326.8852233887,3707789.540350437,2,9,2.797904543284698
341403.5444259644,2951426.815092564,163706.3925266266,1980039.667636156,1,20,0.9162989824761528
261184.8955154419,2906902.3460149765,228889.27507400516,4104935.204267502,2,13,18.07004316716399
311300.0040054321,2310387.006342411,352540.14778137207,2765905.492424965,2,70,14.540929661067716
289312.66713142395,1946368.2385981083,214787.5075340271,3112903.976380825,1,89,11.564878869899665
445660.18629074097,2025636.6875469685,266389.5254135132,564978.8472428918,2,99,19.41960659801045
265352.9410362244,2640641.52520895,334127.9630661011,3135809.527337551,1,81,6.62501686436544
296223.0031490326,2664335.509598255,332748.52085113525,2969710.6414437294,2,85,14.019438863805687
258576.39360427856,2950647.556602955,371529.257774353,2976733.7544560432,1,13,9.206130455964262
297930.282831192,1808808.6244761944,232221.955537796,2149774.1246819496,1,33,2.2465610371675298
253775.23946762085,103947.92162254453,274342.36454963684,3571079.831779003,2,57,2.056063373996891
287781.4476490021,2905935.3070259094,203504.11581993103,2140532.969206572,1,66,15.053674757178905
337223.30379486084,2543221.21617198,231117.69008636475,2291874.418079853,2,83,3.622306134267684
318576.5509605408,2312879.073768854,318045.3305244446,3122086.565136909,2,22,14.722357504152958
221399.17063713077,2433360.4490458965,236834.04970169067,1683270.3264653685,2,8,8.61563129945668
365189.55278396606,1111988.297238946,284571.2547302246,2822280.6236743927,2,99,5.154935492625709
293500.1497268677,1690003.97002697,304572.9522705078,3362542.2471761703,1,47,1.7450986208581503
329442.2869682312,3163975.9905934334,351227.903842926,3434021.1695432663,2,62,23.974048585911863
288489.5508289337,2573730.19528389,217783.6780548096,3340552.66135931,1,23,19.006262173918238
314540.5058860779,2283353.648543358,263219.8338508606,3656028.7937521935,1,5,19.16137485085027
489514.5182609558,1914563.910454512,342932.29627609253,3313052.9106259346,2,91,13.963062140053685
259832.36479759216,1935178.1723201275,360519.5050239563,3460590.2752280235,1,38,19.025302878848763
285245.0792789459,2295651.895016432,216570.9798336029,3156721.057355404,2,14,0.008012161920489615
316539.6456718445,2109914.349526167,295645.59507369995,2123187.1278584003,2,20,7.582973815033071
335344.5415496826,2819830.6080698967,264439.7919178009,3253033.186197281,1,22,1.1844810029460104
196131.38484954837,3215060.543894768,297741.2407398224,2380149.143964052,2,45,16.726491796561838
348996.66357040405,1759274.4836211205,240952.04520225525,1879750.353932381,1,52,3.2365743098002437
501648.5099792481,2027536.206573248,216827.13079452515,1652452.15177536,2,26,21.59045049614902
331420.3624725342,2641718.051850796,129675.68683624268,3214837.8986120224,1,65,4.75462506491841
322410.25018692017,1765874.02009964,211298.454284668,3509480.7938337326,1,24,13.707985987899885
328317.8334236145,1804057.074427605,119637.23349571228,3133836.608767509,2,83,3.1079067822179227
353135.27631759644,3236459.875047207,337970.85332870483,3293327.7007341385,2,79,23.68769986432761
396687.52002716064,1937656.324416399,320503.5572052002,4760923.13593626,1,47,1.1324806719146983
508615.17238616943,3245148.546040058,350247.3955154419,3226929.555952549,1,84,20.53010458897406
194265.46144485477,2004615.3640449047,292777.1871089936,3037282.567262649,2,52,12.697687562167086
216267.7114009857,1949296.8803942204,262205.0111293793,4170065.066099167,2,78,12.615047224790557
427408.8625907898,2294670.940697193,292467.1416282654,2352584.8627984524,2,75,8.35026639648261
275769.1388130188,3552577.03012228,314096.54664993286,2384677.1312355995,1,35,22.05240540120753
360418.65396499634,2880409.698188305,416250.3008842468,1697944.271504879,2,17,4.3071803821239385
341775.3701210022,2997726.635634899,244788.3372306824,1891414.917677641,2,40,4.803504264175249
215844.04754638672,2094601.828455925,278393.9127922058,1440587.1211886406,2,42,12.907003713611571
346269.2503929138,2380735.422819853,297340.500831604,2404783.2541763783,2,3,4.296100350559877
455862.0219230652,2534431.773722172,297404.0334224701,2138975.5226373672,2,43,5.269707216406167
286603.97577285767,3313708.3073854446,317384.21964645386,2821764.991879463,2,13,13.542619793150026
165482.5155735016,3379423.224747181,226507.3125362396,2529877.0262002945,1,56,19.63355162921152
300598.8483428955,2565350.2611219883,266854.9244403839,1378034.8066687584,1,39,23.90390643377341
337034.83390808105,2579178.582251072,336617.7325248718,1699065.755367279,2,44,21.156914046838203
217959.32698249817,2654148.264586925,237303.8296699524,3649578.503012657,1,34,7.7132374083046065
288751.9781589508,1723237.7542853355,236134.40442085263,2646769.4696187973,1,16,8.451106433174314
354906.1064720154,2886896.0770368576,300694.1204071045,2169417.2188341618,1,89,7.470016050694589
357686.1982345581,3112107.2854995728,297620.23735046387,2258093.501389026,1,27,3.0347410673236395
247859.8062992096,2607856.7014932632,140522.14670181274,4015087.128579617,2,35,15.961734246043276
225991.4164543152,2636451.6345858574,254327.86393165588,3212514.497220516,2,18,9.5580690260979
276027.81105041504,2307712.816298008,403162.3010635376,1691848.74522686,2,65,21.338377979601674
242246.5507984161,2104330.326318741,204733.2649230957,2754334.054350853,1,49,9.908973107903018
242114.8006916046,2786343.5953855515,297884.774684906,2092438.2239878175,2,52,20.165619715179247
224007.99441337585,2122248.531192541,315986.03773117065,3398030.3149223328,1,43,7.49302339135759
551826.9543647766,3143959.629178047,242312.39008903503,2190535.6438159943,2,11,23.29402673489415
382729.4473648071,3576128.802895546,368650.67529678345,3115135.934174061,2,44,14.209442247988854
245250.41031837463,2185132.0611536503,316258.5859298706,4363370.104551315,2,96,0.8603623977093688
289274.24001693726,2144641.0499215126,178569.38886642456,820755.1931142807,2,41,21.258940865978555
337730.52740097046,2778573.336184025,211824.5248794556,1949359.4229221344,1,0,20.502843513635987
316357.2554588318,2974873.687684536,258959.59186553955,2408431.21150136,1,14,6.091414949864811
407954.6217918396,1184344.7264432907,332194.5195198059,3294747.06441164,1,69,9.560211576836243
252318.79997253415,2426935.695230961,253243.2680130005,3710817.883193493,2,85,0.8516088678668257
436883.1043243408,2466644.23674345,191439.5933151245,3311761.6903185844,2,85,21.8142506288427
233758.6109638214,1425575.3853321075,328512.09688186646,2427599.196523428,2,62,11.251337237607187
297961.16399765015,2414718.79991889,278384.3104839325,2150109.9275946617,1,8,1.8677033801000835
334627.31885910034,1675917.6800847054,345011.22283935547,2703965.4524326324,1,22,20.479656039996815
384468.52016448975,2482514.594346285,282685.51874160767,2767689.407169819,1,16,20.37923946601273
151107.6455116272,499313.3981153369,423186.8510246277,2084608.7864041328,1,67,18.473394750109037
316124.6900558472,2106006.282567978,419259.16719436646,1342195.3386068344,2,47,14.281072481490424
494131.637096405,2837814.107954502,434171.2121963501,2008750.9695887568,1,15,21.812861351335012
172396.24905586243,2111876.5639960766,260271.97885513303,1950181.8036437037,1,88,4.972343199445455
348849.07054901123,2580161.2186431885,225960.14189720157,3780687.5205636015,1,42,4.576187770062713
259476.95422172543,1994419.097006321,307134.96255874634,1394560.408115387,1,17,2.707209502236063
353639.4600868225,2546544.53343153,410143.1612968445,3674058.4741830826,1,63,23.447657903582172
436377.66885757446,3243772.916257381,355998.6238479614,1497284.292936325,1,25,7.535489168312067
241072.726726532,3248911.4959836006,194920.9039211273,2537205.5118978024,1,81,9.320306379278287
214976.19199752808,2646515.3236985207,309708.7388038635,1371358.2006692886,1,21,18.687255312614823
384815.70529937744,3177685.8020424843,464953.1726837158,2718457.5806856155,2,76,10.647899582378058
324760.8308792114,1527456.704556942,325262.51125335693,2990688.842713833,1,33,0.5977297783873872
502670.5389022827,2038608.2219183445,297034.94358062744,1873756.516605616,2,94,9.297717671643904
380741.9304847717,3329919.514119625,229246.2949752808,3188975.2635359764,2,88,15.031514304115408
371339.32161331177,3074866.497814656,307279.1223526001,2304471.003115177,2,67,7.693332558062572
399934.4592094421,2634135.267317295,314782.0477485657,2535994.419425726,1,51,0.7168873542601152
220564.5387172699,2744996.1032271385,333034.1582298279,3035659.2140197754,2,40,14.668773714549923
293458.2357406616,1488089.623838663,352643.8241004944,2850933.9705705643,2,4,10.462771870033375
265137.5238895416,1836536.066710949,268257.0044994354,1726081.986606121,1,9,23.3220817342476
346155.4889678955,2157413.793861866,167398.59628677368,3530164.7852659225,1,34,20.103197177568855
338097.2032546997,2864183.50571394,264425.164937973,3485003.5751461983,2,4,3.8628693910915888
336529.1123390198,3657732.274830341,313466.5493965149,2178851.9656062126,1,67,8.787748523551453
233667.4337387085,2302860.6477081776,366760.89811325073,2661947.2719430923,1,70,15.744438941199945
305471.06313705444,1930786.738783121,290485.47196388245,3052508.996784687,1,51,11.494338110805217
258638.4241580963,2126289.9406552315,157694.09584999084,2403162.653416395,1,24,23.08380801013363
258654.5352935791,2462481.565117836,201480.33547401428,1875757.4187517168,1,50,4.596764298496275
310220.39699554443,2911779.1340351105,260792.61350631717,2772376.273870468,2,41,5.014889081157736
371078.8254737854,2883684.2353343964,291725.6896495819,1692180.266499519,2,10,11.695803896335267
319339.5142555237,3345084.4715237617,304315.7105445862,2766827.2683620453,1,40,23.07355768812786
207344.46692466736,1822792.6138043404,187235.64195632932,3599848.477125168,2,95,0.5302002997314524
227860.54062843323,2697927.422463894,340797.25790023804,2577395.890831948,2,7,8.632484274903991
363212.22829818726,2568715.4772877693,317987.2159957886,2027329.7703564167,2,6,9.969179696889652
226906.6755771637,983749.9664276838,301851.261138916,935849.2712527514,1,27,12.941041921018382
168755.43642044067,2065653.0483961103,272420.3650951385,3488332.5502872467,2,71,21.450187038226023
297619.9154853821,1906085.34565568,299195.31989097595,2502506.3363313675,2,81,13.448024351736958
296704.9961090088,2362991.84769392,224975.98576545715,3230264.6477222443,2,27,21.02546848374633
353201.0440826416,1363479.2183935642,321238.2321357727,3031519.1739201546,1,29,10.370827212947818
243577.6596069336,3342032.885491848,193437.49928474423,3907679.4353723526,2,96,23.65745401442765
418954.3251991272,2586958.322227001,272340.6677246094,1836384.985983372,1,67,6.85129957528351
239830.5778503418,2234105.001330376,127934.32521820068,1339523.7481296062,1,10,14.214270406337867
341786.2777709961,2189547.502458096,190793.55645179749,1819991.8095469477,1,79,6.68521040329637
300821.18558883667,3182466.2531614304,295671.6482639313,2919998.6596107483,2,40,20.78991683627653
431107.6645851135,2398955.483317375,332148.7431526184,2442831.589758396,2,42,15.780807263383027
314179.05139923096,2664412.884950638,282290.8048629761,1602913.2705330849,2,56,17.46903975788172
167632.27033615112,1335204.6437263489,374320.54328918457,2229815.5625760555,2,90,2.34508977679681
367722.38063812256,2296669.3961918354,266745.3830242157,1412994.7035312653,1,88,7.266633896632825
252529.13880348208,1961382.5740218165,332080.5792808533,3084684.6042871475,2,43,14.214502202628456
314527.88162231445,2130736.576765776,304780.0188064575,3561319.527447224,1,60,6.623285853058598
360950.6969451904,2362921.047717333,279237.5748157501,2217184.724420309,1,57,0.3962061162536564
236765.6533718109,2887664.0197634697,291673.90513420105,2791011.806368828,1,82,17.152366808428628
366994.1430091858,3193621.148824692,160332.19146728516,3019676.1575341225,2,62,8.064026975176697
305382.9436302185,2641710.406064987,227342.39149093628,2617121.2530732155,2,19,6.705010683428939
320506.27517700195,3052274.118244648,290505.71370124817,2212612.6974225044,1,25,19.630552668451738
280582.04102516174,2083963.0233347416,278117.0372962952,2683845.414161682,1,72,22.5768659732239
278048.1045246124,1218078.0098885298,326618.70765686035,3011081.6826224327,1,81,11.98380922055327
229263.747215271,2257603.2536029816,171979.594707489,3283616.9410943985,1,40,11.046239083351235
273157.99045562744,2715113.6198043823,262428.6179542541,3381234.052658081,1,28,0.9468253497115734
263539.6425724029,3016152.367770672,236966.3183689117,2570088.354587555,1,28,12.15047858006723
351351.75037384033,2249477.618277073,256382.4896812439,2865908.700823784,1,86,7.772634522656479
278535.31885147095,965156.7915827036,424478.2094955444,2261947.7420151234,1,20,4.874215260217657
330829.52547073364,2237814.5836889744,361361.1822128296,2594558.233320713,2,98,4.011296083542486
279840.2135372162,2692796.794354916,429763.16261291504,2826586.424410343,1,43,8.93752724861938
213755.46503067017,1773544.731169939,364842.9398536682,2173059.212446213,2,43,16.999592462529176
226351.95899009705,2620176.5090823174,180235.32676696777,2600788.631260395,2,92,8.88816767794454
266584.4683647156,2076386.9670927525,272411.0310077667,3129567.8136348724,1,44,14.05765207020609
304187.85858154297,3178605.131328106,135420.42422294617,2429145.633161068,2,45,9.752603460713456
223846.47178649905,2693429.253757,239934.7369670868,2271392.7341401577,2,65,16.3142706705337
283979.2196750641,2927971.3792204857,231668.5800552368,2391459.860742092,2,72,9.076250800994696
369679.0699958801,2462162.2771024704,245844.1798686981,2569316.4360523224,1,13,5.6915576609835
391773.49853515625,2346035.0239276886,438129.508972168,2227919.560611248,2,9,4.184420752987522
240647.4177837372,2941414.505660534,261578.07159423828,3293361.342191696,2,20,8.274517927689262
306591.5470123291,1409026.9994437697,155154.31213378906,3284782.770514488,1,31,0.6979054036191168
362179.3632507324,2184325.1249194145,375824.1181373596,2071230.9549748895,1,14,11.389073510046495
285646.8563079834,2393561.53434515,386824.7871398926,4246661.771655083,2,92,6.019787058704904
381810.9874725342,2353801.0014891624,255268.5503959656,3614920.7676053047,2,4,16.58281235967594
261053.28845977783,2569745.517551899,172790.33708572388,3394201.917052269,1,10,23.61778053171158
213712.8357887268,1875355.5562496183,201310.9986782074,2927800.7252812386,2,5,10.93859052587315
344264.066696167,2753130.607664585,374290.967464447,2641682.269573212,2,66,16.59960836147495
338178.599357605,1956996.1867034435,234246.8981742859,3670124.258637428,2,39,22.39734362120564
409295.976638794,2278798.901021481,406113.4462356568,2316444.915354252,1,61,4.14571767121866
179485.88180541992,1943421.246916056,186509.62162017825,3409465.6580090523,2,48,2.9252262744529127
409207.9286575317,2385038.471072912,317165.85206985474,2977259.7845196724,2,24,11.976455947204558
228003.21626663208,154876.8449537456,259631.98590278623,3922308.8819384575,2,66,13.866548014950391
301192.65365600586,3219626.6071796417,278047.2819805145,954923.060193658,2,7,6.800356801278349
288338.2384777069,2657885.524690151,246695.45936584476,3658137.501478195,1,77,7.928839464630055
417345.8938598633,2163858.120888472,322822.05867767334,1824162.4327898023,1,41,18.831832436431757
340524.995803833,3156855.929017067,187862.58149147037,2940388.4412050247,1,65,10.396993307520047
258850.55112838745,1923000.882178545,209816.1404132843,3099796.9586849213,1,5,3.933035056682597
403751.0280609131,2567682.990372181,191880.3339004517,3249776.3872742653,2,11,11.460317220310099
372796.1187362671,1354387.308657169,381796.2532043457,2374267.699688673,1,0,18.90761121041561
236684.7758293152,2262801.164627075,293244.4279193878,2098114.455372095,1,92,3.469117674285173
245820.41549682617,1961508.1178247929,306508.25548172,1959311.1777305603,2,9,20.12159256084127
334397.9721069336,2562126.950740814,185446.87676429749,3251300.956964493,1,17,17.67650235074017
166202.34894752502,2770679.2152523994,271119.261264801,3515762.8772854805,2,88,4.730733360987684
353059.1015815735,2341392.8086161613,249976.3195514679,2870777.537226677,2,7,11.835906406486776
217460.1142406464,2268350.170135498,218841.326713562,3216037.36948967,2,26,4.4124037150353725
236135.9601020813,1609562.1987879276,326811.6121292114,3498014.867603779,1,71,17.789446220458473
286610.8601093292,2524952.987223864,261298.69270324707,3613413.324475288,2,21,23.99159378751855
168849.06339645386,2068477.4016737936,363700.85525512695,1316840.9953713417,2,23,4.979955776309143
273715.6753540039,2185230.233043432,252232.4149608612,3107956.8471312523,2,98,18.942618052957645
197180.57560920715,2854323.806166649,260061.94400787356,2848499.85820055,2,92,3.516810905509793
329598.4272956848,2843841.1279916763,340140.6888961792,2201058.080077172,1,57,7.698460566417279
333541.0599708557,2758434.948027134,457272.0055580139,2828013.4338736534,2,19,11.011296007819123
346982.18154907227,3292186.031997204,172222.0664024353,216474.0479104221,1,94,19.769119335967705
272799.7725009918,2238834.072768688,325335.2885246277,2743765.13171196,1,99,21.93325080904929
375662.36305236816,2853948.5509991646,251811.3260269165,2601006.6890716557,1,26,0.20962891978212364
268867.3679828644,2940608.0281734467,258676.22542381287,2606506.149888038,1,23,4.64024100907038
325421.22650146484,3255418.6713695526,262140.1374340057,3627226.506948471,1,21,15.14038540013355
233767.28343963623,1924481.259226799,480892.6467895508,3076058.6287379265,1,64,11.208046875628684
275075.82354545593,2785115.0705218315,299548.0840206146,4068281.3071012497,2,86,23.823230787040213
351022.8042602539,3475394.6573734283,268616.0628795624,2542357.2423756123,2,96,15.718324148740153
408895.18308639526,3194903.8058519363,198399.4786739349,3056340.7588005066,1,46,0.5188721401197014
327809.93032455444,2754264.936447144,421012.1159553528,2531691.677004099,1,13,8.58200559759954
395416.3317680359,2606301.242828369,389648.1876373291,2962930.3585886955,2,18,18.031863591977775
321676.9700050354,2173030.4642915726,210978.6455631256,2562390.577435493,1,3,1.305946664734726
367092.41914749146,3769259.823262692,407855.63039779663,2579309.172272682,1,55,18.137772350284234
355187.05892562866,2889572.1020698547,249255.60998916623,3255329.674422741,1,81,13.585725011480443
204586.9235992432,2665193.9784288406,273748.70228767395,2781483.6280941963,1,42,7.8116716664943295
468700.8624076843,2461059.4489574432,289142.61507987976,2476175.473332405,2,38,7.093933677522995
289819.3006515503,1636844.5033729076,279776.1266231537,3361064.4696950912,2,63,15.91781771604124
504043.07889938354,2095409.070521593,378098.81019592285,1637602.04783082,1,74,23.695703495525102
280338.6037349701,2690451.0672688484,334526.3605117798,2498187.5377595425,1,61,18.559765209795053
217992.1751022339,3132718.794882297,173142.94028282166,1503740.7003045082,2,67,8.233668971429742
226813.2095336914,2412662.389367819,204738.00349235532,2463213.113904,2,59,1.3292318178618
372129.6434402466,2636416.1581397057,338895.893573761,2506314.3964111805,2,33,4.041312526618426
324683.0110549927,2984793.9418554306,305454.9698829651,3553159.027338028,1,96,0.17601311569473566
189066.05291366577,3306086.376428604,204998.7678527832,2554361.2790107727,1,46,13.962369417384625
456884.0866088867,1844030.4659605024,330166.0900115967,2610983.216226101,2,62,11.651305799879532
359955.41858673096,2852240.176618099,296572.19099998474,1274582.7372074127,1,99,1.0302352767218335
247230.27396202087,2348302.7639985085,366187.8709793091,1962834.5087468624,1,23,0.3168331925348027
288853.97362709045,977011.0472738744,288759.89961624146,2466811.6794526577,2,81,2.0959046441550515
248819.8046684265,2525702.8858959675,247842.08583831787,3662728.9487719536,2,62,4.4378817594161
