D_ORIXCOOR,D_ORIYCOOR,D_DESTXCOOR,D_DESTYCOOR
155088.44,2393976.0,412827.78,4156610.0
121440.89,1675755.6,150889.58,3525487.0
308711.6,2823280.0,454147.56,960721.1
339340.4,2130083.5,255163.52,2275910.5
280125.72,636771.1,374421.4,2901274.5
223304.2,633041.3,416903.72,2876592.0
237807.42,3094079.5,198453.81,3074140.5
203061.83,4060660.0,393383.03,3955629.0
54402.43,233904.97,89382.01,392231.4
288642.44,1807833.8,387438.66,4306676.0
361697.72,4511646.0,175147.08,1739218.8
440606.72,1394024.6,144917.98,1367698.5
401365.28,3931735.0,314015.72,3263461.5
433843.66,3490845.5,299570.84,3414992.0
328497.94,1448556.6,186894.22,4301792.5
106608.016,2406954.0,111187.21,3044789.8
234787.42,2795746.0,314231.62,2882457.2
144026.6,1179928.0,326301.44,115247.22
328700.28,1987049.1,190692.05,403959.53
448059.38,1778573.4,445171.53,3845985.5
132533.67,258737.75,141908.23,3017774.0
77089.81,1933343.9,174447.95,2252992.5
139763.1,174076.11,289202.66,2515192.5
100042.24,532467.1,198710.36,1837116.1
349236.2,684094.3,151857.48,3450526.2
425280.12,2438985.0,258581.69,637251.25
180198.14,3245396.8,423092.56,3064663.0
434023.2,244710.97,408279.7,4172100.5
233458.48,4558982.0,384830.16,2208407.5
343403.03,2318257.5,417869.47,2536361.0
199725.67,3639462.0,148321.86,4025074.0
319843.22,4808736.5,181494.11,2498674.0
236571.62,295780.9,256669.73,4157139.0
421071.72,3324372.5,237009.88,1903732.6
176419.45,3478609.0,353463.03,4206610.5
383227.2,4142443.0,365869.66,4170014.0
374849.9,381870.9,99929.414,1050574.8
87171.1,1401451.0,254353.75,1417074.6
349398.34,764940.3,238329.45,110096.65
432164.16,357132.53,354993.4,2668135.0
384905.6,617470.3,191511.86,3220958.5
207576.89,1507051.0,142953.97,4010233.2
332637.06,639193.9,291885.2,2814699.0
356724.6,1766472.4,482309.72,4011125.5
265486.9,3531050.2,480656.28,1126324.8
270697.25,553646.44,142636.69,2433163.5
415456.66,789300.9,127131.836,2090708.1
121465.16,570047.56,146805.73,3335391.5
456657.47,1150150.4,178875.48,3595351.0
473851.5,4643757.0,462616.28,2209344.5
156905.89,253391.22,126332.445,2650524.0
198126.23,3822745.5,143289.3,1929245.0
143770.27,461658.28,358566.3,963973.56
233973.86,4938876.5,225689.34,4046804.2
118063.195,328946.8,78126.89,294994.3
284388.2,309509.72,207075.56,707070.1
356956.2,4774276.0,424167.28,2676344.0
425116.22,538388.8,173313.39,2531247.5
407971.4,1788539.8,237708.39,198090.23
280572.34,2212732.5,344779.66,4155209.0
118533.766,1624752.1,342038.28,3354669.0
223377.17,4189368.2,480211.5,958127.0
270046.34,72782.0,152718.95,1222969.4
403736.84,249567.31,422813.56,2579671.0
239681.33,2019857.2,147043.06,2844114.8
150515.16,716053.94,432487.62,3846497.2
290448.84,1956044.8,223758.84,104800.03
413345.6,1880593.4,117162.805,1574333.4
317104.16,4837905.0,495695.2,446941.16
430029.53,3006078.5,367806.53,915004.94
113943.31,1832803.4,144141.08,1846887.4
396314.25,2928124.5,203890.89,4468481.0
370023.47,1920565.6,434524.97,1724564.0
406643.97,4620415.0,272570.16,4137631.0
426122.6,1973847.1,129093.99,2876626.0
214712.95,2349917.0,341358.84,2680460.5
145080.02,1317749.1,176643.36,3705184.0
225960.27,4545459.0,523670.34,4212739.5
126878.51,1070062.1,309483.28,848791.25
198105.08,3055937.0,183976.34,422557.1
389104.78,4463228.5,299910.6,4316381.0
373715.16,3133890.0,302247.47,3090740.8
308907.72,434546.47,212156.92,1337863.4
277595.78,3626401.0,238317.78,2332364.0
190488.48,1952188.4,150673.12,3853489.0
172408.83,2142577.0,211448.98,2433885.5
378395.6,4173112.5,393049.28,2457565.5
94086.12,1187226.6,133559.5,2919025.0
352640.8,371206.56,414127.72,2174359.5
456256.44,4219988.0,239406.77,4389914.5
112759.05,1461896.4,413078.3,3262684.5
358953.03,3838088.5,429963.66,4121273.5
205644.61,2515770.5,436627.78,2189624.5
464240.22,1072789.1,351161.22,3817875.5
450962.94,2286073.5,294044.88,798329.0
480530.53,4269669.5,276458.28,1486532.9
155994.69,131474.12,295362.22,594249.2
186398.64,3247755.8,144719.47,4345373.0
300632.03,4528282.0,465450.12,2731104.5
225347.97,102878.414,276915.72,2324722.5
136053.48,1268119.5,248926.39,3963648.5
354192.16,3688209.0,386316.03,1237582.0
140826.05,1097937.9,419537.53,740688.5
198445.08,4748348.5,301886.4,3126526.0
265359.06,1984162.5,213642.42,845982.5
460971.66,2334390.5,346954.0,338104.94
207292.84,474900.28,460212.5,4303353.0
274436.56,336754.47,200195.86,342323.84
109028.516,1387188.6,190745.17,1633157.4
469144.25,4494956.0,165802.64,1354753.0
200978.22,4224341.0,371557.78,2016340.9
170060.02,4648703.0,256657.8,2511605.5
239674.42,385419.28,412270.1,4656221.0
381633.28,2833938.0,187583.17,2118805.5
146917.45,3141281.0,229448.38,4698531.0
350558.94,738052.25,184979.17,4432965.0
366954.12,642098.56,168977.42,2992310.5
389898.9,3377311.0,156490.28,1511715.1
285599.1,265590.97,141474.33,1671622.4
412953.72,663341.4,346782.66,1345584.9
316378.22,3863670.8,452850.78,3166490.0
179430.67,4400014.5,250431.77,2143753.2
156524.86,1583428.4,293647.2,2232091.0
435996.88,4030775.2,484948.38,3813232.0
283094.3,2246168.0,388906.47,2106229.5
123729.85,2717706.2,365936.03,1354311.6
211328.86,3511895.5,406154.8,740620.4
165322.92,1228407.4,476370.28,1170449.6
83935.32,2249181.5,112974.13,1223654.4
254916.61,4731647.5,387202.4,4229330.0
243836.14,4469473.0,490250.9,645192.5
106250.06,185143.97,277485.0,1806159.2
95223.72,1924146.1,96282.12,708928.9
410115.97,197527.45,271217.97,2836697.8
124759.516,597512.0,290369.97,1956977.1
236917.23,2971227.0,343630.72,3161263.2
274992.03,959050.25,64278.246,631841.3
464535.1,2069915.1,353307.16,1143372.6
334016.34,4389688.5,181978.02,674994.1
320722.3,670417.94,397944.84,3047817.8
270473.53,2500041.5,125133.87,1303952.4
342436.03,4765480.0,341428.7,407783.72
353501.5,2467102.0,447439.97,2412681.5
320100.4,383595.5,151018.86,2298246.5
310383.66,4202303.0,473557.34,277176.4
226515.86,1672589.1,187948.88,1605833.4
448477.62,3561142.0,375181.0,1538420.6
134273.45,2310460.5,164744.2,4739610.0
400207.53,3485404.5,315319.4,4496722.0
364919.5,4512864.0,360671.5,4200577.0
200029.64,965715.9,262060.33,3102337.2
330786.78,1235035.0,380319.97,3588961.5
267724.0,2398094.0,438140.56,1709713.9
476098.72,4597173.0,306666.9,2857396.5
248398.36,4583735.0,369555.22,370474.1
372284.3,1351568.1,146082.86,3451025.5
275984.75,2075540.4,443463.44,442257.0
254467.8,1649809.4,134683.48,1697814.5
224296.55,67865.78,212404.92,522537.25
326238.03,1825958.5,224829.52,4699845.0
382985.16,3867796.5,270875.66,2370072.5
192865.33,534688.1,441941.3,762736.06
221104.86,1957597.4,238117.55,3949583.0
209823.12,4444583.5,403573.38,2753846.5
284442.03,145650.58,330799.47,3824606.8
224999.92,4915131.5,317809.84,1048054.9
143030.67,1259825.1,447065.38,3749509.0
172564.66,1125285.1,414682.62,4673154.5
182763.83,1846219.6,122154.44,1348234.4
458977.97,3813499.0,314732.4,2150378.2
466221.16,4406025.0,197696.67,4558920.0
389517.2,2977971.5,290876.72,2503321.0
238491.03,2070645.1,426095.4,4312153.0
188646.66,4418628.5,323966.72,1069181.2
329239.6,3047873.5,462909.28,2504486.0
256634.86,977767.4,167122.73,4040631.5
211461.14,4429554.5,308637.84,3737644.5
154840.19,4082065.5,387611.44,2873900.5
454387.56,2801107.5,379987.5,3234634.2
193598.27,835798.2,78907.89,2204137.8
220765.08,2164054.5,156610.77,135060.56
158142.2,3294892.5,406419.6,1504367.2
330071.53,737897.7,434049.16,2256443.5
158941.58,3320613.0,326913.9,879351.25
353823.34,641311.1,280314.16,1580946.4
234430.08,2448072.0,125160.56,1361124.2
473712.47,5024353.5,250591.42,317727.53
453905.1,2314994.0,218407.3,412029.84
433860.78,2272438.5,171003.77,821586.9
491997.47,3585173.5,341273.84,1298845.9
379622.38,2926623.5,272849.34,1869598.0
195451.2,2057958.6,321197.9,161519.53
420176.34,4955465.0,410870.97,1125540.1
150547.88,1379934.6,114365.914,2929586.2
111088.64,2564629.0,208934.92,2401149.0
285051.25,1010222.94,107546.38,109176.22
153244.67,259910.84,343222.4,2371403.0
424283.9,4658879.0,201870.89,4421963.0
347637.16,1495500.1,101169.49,342310.16
236984.1,368359.38,355930.03,4601184.0
358914.2,1836977.9,299436.22,1824442.4
219479.05,592890.7,338334.44,2708225.5
276457.16,1676974.1,396241.53,520796.22
51600.25,718883.56,123299.96,1372884.9
375544.78,197200.36,169624.8,2900883.5
267868.62,4067037.8,207100.86,3234093.5
216752.78,3588187.5,396895.53,2256738.0
196917.66,2065479.4,295103.06,2504695.0
185501.98,2895567.0,249677.3,3544103.2
339566.12,4824407.5,361215.78,3299562.0
370577.38,1355898.4,147966.95,4262757.0
419363.72,315810.22,358501.53,300151.6
518574.1,4704743.0,266826.03,494986.44
290274.72,522181.97,130828.73,2195813.8
127585.04,2238225.5,368347.03,1499380.9
156530.42,684847.2,164099.23,3801838.0
335194.9,3173738.2,198526.98,298109.75
297451.22,2222970.8,301796.56,2307058.5
397824.8,4550012.0,194115.83,3693741.5
207724.7,4288581.0,334139.97,1688225.1
439924.94,525061.2,158532.64,2745649.2
145343.45,106585.664,363871.1,1745424.4
249436.73,3201843.0,451718.03,865692.9
126673.19,2878926.8,212061.42,1406895.4
387594.94,3620678.0,310466.66,3721700.2
321018.28,1217718.0,114409.51,1933792.8
375325.53,829274.06,376713.66,628876.0
308118.47,1477478.4,304149.9,3111029.5
190900.9,4993491.0,371945.84,3857488.8
408292.78,1266255.9,420243.6,2321472.8
154914.97,1001422.3,437260.78,519018.6
164246.9,3026100.0,310920.6,3768044.0
140447.84,486297.03,294045.03,1415970.4
429669.3,130570.15,142298.95,1034591.6
192441.86,2771827.2,248029.2,2048233.2
403094.5,3652978.0,342432.0,3123538.0
147148.88,3659222.5,167594.7,4535998.0
237870.55,2049503.6,149873.89,4288421.5
426325.78,1230137.4,253725.22,3648790.5
275476.78,1760369.4,476589.53,3157495.5
219635.77,562000.1,174006.61,2968390.0
196434.47,1450967.2,306723.3,1053856.9
361515.28,1338627.6,132720.4,2869964.5
182460.42,2881182.5,362728.34,3048999.5
201464.75,2846846.0,305545.03,3948705.5
252397.03,4928463.0,366306.47,2593916.0
229175.89,3987339.0,255211.02,3170678.5
381154.22,3337840.0,316820.75,4195303.5
141760.06,1571715.9,361288.44,2746656.2
249249.2,3162102.5,496354.03,1300850.9
365149.9,4183256.0,172964.84,4558545.0
364954.78,2364512.5,210594.67,3734736.5
171202.73,4390095.0,207449.2,1761614.4
466923.66,731985.9,369109.25,1168128.2
233684.61,4875797.0,308231.84,1873121.6
432043.25,4510879.5,316572.72,4294031.0
291773.66,2494278.2,218458.58,3657130.8
213658.52,842905.6,185742.27,651607.6
205502.3,1649263.2,214418.7,636305.25
298824.84,3463249.5,285140.94,3897830.0
266849.25,5016507.5,201999.92,4684980.5
399858.25,1757330.4,178401.19,1443627.4
397025.47,3004950.2,360914.34,175612.8
216595.05,497787.28,209104.92,1027336.4
362648.34,2587442.8,154647.28,4283686.5
369076.75,1233347.0,153070.4,1358013.2
72982.68,973159.44,253588.55,634345.8
378404.62,4602039.0,425592.6,259492.9
212319.23,1529038.1,400986.97,2194111.2
173308.33,1540480.1,324197.9,2776036.5
312154.66,2813387.2,458261.0,3289919.0
296307.34,2637293.0,97106.44,2587470.5
208067.7,3264229.5,158095.67,2123811.5
71428.93,1238047.4,255222.39,1390192.4
349459.78,4805390.5,234360.14,3793896.5
312682.66,882899.94,225754.58,4187080.2
171794.69,1960713.4,371680.34,4048888.2
133681.8,1837961.1,288455.34,3131753.5
169244.4,1258182.9,181925.55,3313133.0
224754.9,1082961.1,63524.145,913538.6
295244.78,4102403.0,147892.08,2290937.0
488435.2,4614252.5,474885.84,2398294.2
121877.14,2438560.0,208462.48,1051968.9
418637.72,4183631.2,227632.36,898575.7
151114.94,2792338.2,189806.48,2065301.6
318952.75,1825839.6,119902.305,3644674.8
362178.62,3093226.0,444262.78,397193.1
469456.16,3260331.8,311516.28,1349092.1
311127.66,1230277.0,128830.37,1875770.9
200167.61,2615252.5,383514.72,2694286.8
96884.61,1918401.4,275463.78,2386923.5
176973.73,2441909.2,210067.14,2954058.2
139877.05,1635302.0,68023.6,1226733.4
213834.45,745480.7,219908.3,1677104.1
210859.61,697932.94,218804.11,1425507.5
358911.72,170462.67,145417.06,458974.72
361122.78,4238083.0,385696.4,2855037.5
463176.84,2684693.0,404835.03,3907657.0
347358.47,772463.2,352276.4,4128346.5
288737.84,3768762.0,208668.61,257651.08
425541.44,2588272.5,100433.9,1534241.9
365343.4,2855741.5,137437.02,3304269.5
387063.34,819478.0,422991.03,2161855.0
212517.62,4165524.0,484459.1,2018067.6
141835.11,1505454.6,404915.7,2086182.5
193326.34,4124559.0,212628.3,574343.25
189469.92,2073967.1,258278.92,2086751.1
313237.47,4854260.5,340693.94,894634.0
140951.17,243728.28,343273.75,2360780.2
264428.22,1160816.5,93099.086,1796588.1
216858.25,2982230.2,288843.56,1140615.8
129262.23,2928252.5,209817.31,530856.06
393863.16,980142.3,340122.0,4045224.0
469718.66,2401278.0,331110.53,713167.5
126065.58,2321894.0,338598.12,3126350.5
272792.66,4960146.0,346090.25,2447439.5
455452.6,4906875.0,420490.47,786898.75
506830.97,4285564.0,351289.9,2146639.2
202529.67,3818954.2,212509.62,272126.72
318818.25,4777949.0,509498.78,2138602.0
382151.88,2422619.5,462135.47,223544.1
127660.54,1907586.9,351382.22,1262348.5
332971.34,807964.6,281051.66,1265238.9
97891.9,1508337.6,153538.5,3261599.5
245999.77,1870130.2,228254.64,1908556.9
166138.19,3686358.0,451386.1,2329550.8
381695.53,2718380.2,168174.39,356602.7
399182.97,3392328.8,110160.695,2183944.0
451956.62,558400.06,462008.22,685050.94
146654.9,3165502.2,370879.62,2247924.5
357990.9,4958348.0,453823.22,3999320.2
212390.48,2084704.1,153424.64,1294115.0
177322.38,338789.9,248460.08,755123.1
268380.2,2060292.1,246347.53,4469892.0
175728.31,1543087.9,154374.67,3928887.0
332602.0,4958859.0,352020.66,313732.7
100503.51,2575590.2,212656.36,1817374.4
116406.57,268497.97,182994.05,458264.56
113608.56,1316652.9,412626.78,2690422.2
436330.53,1276461.8,271765.1,1438080.9
251120.84,2377508.2,125659.93,1729191.9
317801.38,1275509.2,93590.695,1777952.4
193897.36,5024481.5,460005.34,1759852.1
400755.9,3750996.5,442856.1,2748408.5
300312.4,2900459.5,160408.45,3179905.5
160592.97,4000971.5,352424.5,2617222.0
371481.22,4694635.0,498901.34,3438406.5
341772.72,1166288.8,105292.766,2801705.0
435269.66,405050.97,320066.9,4081769.5
279279.56,918329.2,454991.28,2743862.2
472499.53,1286983.9,422555.75,1736829.4
210450.36,4511370.0,362227.44,1283012.6
312034.25,1587440.1,271581.38,3083550.5
178183.5,3847971.8,327654.16,3527493.2
64025.57,1329677.9,88164.85,1522389.1
168610.17,3048383.5,122250.04,1093062.1
251295.77,1603059.1,240963.83,4579572.5
324082.12,4406046.0,173653.14,3523748.0
217563.8,3426961.5,303962.03,4073663.0
445186.94,3205892.5,250820.86,3402491.0
436310.97,1550076.2,434785.47,654471.0
367319.6,4029814.0,433321.03,1017231.8
314951.06,5015455.5,480964.34,4565117.0
481146.62,1939203.6,473657.12,3863942.5
476481.12,4422399.0,388982.53,281031.84
180510.23,4049208.2,449329.16,978607.6
446399.2,1488895.9,438299.0,4006152.5
223339.39,3705986.5,362717.72,317344.03
204830.58,4772160.5,172976.14,2168310.5
329564.0,2947440.5,475771.78,3229944.5
404857.6,3433251.5,188336.3,4665049.0
335797.44,1100894.6,223275.08,3401944.5
195061.95,4772608.0,424126.72,1775903.1
320203.34,2255504.2,242247.45,2170180.0
172509.23,1396179.6,412513.22,4602002.0
214359.77,3265573.2,262467.7,1592361.9
256366.8,4532135.0,458074.4,4739481.5
176418.73,821917.94,290252.53,794133.75
162244.55,3207790.5,258997.47,229364.0
291493.53,3565984.5,476260.1,225957.48
508212.06,3770012.0,485383.4,2493266.5
303878.62,4827888.5,281512.28,2379544.0
259762.45,1257883.9,238566.62,2225326.0
184159.75,2307722.0,116827.65,1577818.5
246136.11,713607.5,358839.66,3397301.5
398402.16,364058.28,435149.9,244540.6
434575.1,2495948.8,397003.0,365083.66
240706.2,2102812.8,289360.1,2421128.5
113336.58,2338337.0,132667.4,841956.6
195289.55,4571251.0,484502.66,1884553.2
190150.83,2778612.0,370354.03,1910249.0
312929.94,4000215.5,151565.48,2545498.5
187597.27,4340294.0,346289.72,1912387.9
482043.5,2099726.0,409637.22,3685141.0
166633.08,3910531.5,499810.78,1743951.1
122120.16,834136.8,361549.8,2813696.0
392035.9,3857609.0,494436.72,1577306.0
365341.94,280978.1,324571.47,4427402.0
347122.56,823802.1,381925.84,2892900.2
329177.1,484798.6,170467.7,2123453.8
258288.88,1745804.8,215831.98,1578530.1
369436.28,1346563.0,444339.5,2880107.0
393465.1,215092.58,428959.12,3306164.5
337840.84,3419222.5,430737.16,2994035.5
208544.6,4048335.2,226554.7,1354774.1
452044.16,1660557.6,112577.77,1252069.4
292317.03,4152601.0,181564.64,4327622.0
261813.17,1602440.1,350489.22,3955563.2
210886.73,1757919.5,238858.3,3363519.5
450344.94,3014900.0,326835.6,443888.5
122850.63,1409620.2,296520.72,2988282.0
326146.16,1903455.0,102884.41,779266.9
192973.94,1732177.9,337097.94,2486390.5
443454.8,3250004.5,327926.34,2807635.0
440988.06,1902791.6,137749.48,2224609.5
202948.3,4415101.0,298657.8,3353585.2
158098.94,495129.28,173567.28,3751419.5
391841.28,2090647.1,357761.72,4103630.2
319532.62,2567107.5,219347.23,2218001.5
333464.72,3268866.8,361263.16,2554589.5
134720.06,1702854.9,325135.7,1865077.6
132870.48,2355677.5,206087.77,4383052.0
251203.89,4058382.0,413674.34,1185782.4
195487.92,3729201.0,279329.66,871234.7
290788.94,2507832.0,437380.97,1594684.6
49306.023,112994.47,51052.605,1129099.2
398921.38,4566091.5,518013.9,4119154.5
321847.9,4292302.5,172505.02,1119192.0
224372.83,4794403.0,355801.9,3671515.2
455222.0,589175.1,333013.97,2938610.8
423086.34,4703282.0,535812.2,1459502.4
382054.53,2559641.5,333164.06,149481.67
133404.5,3575323.0,254146.8,2723400.5
194092.27,1357801.6,451759.03,2479599.0
183887.73,4253251.5,248309.73,1179546.6
358527.9,1739652.4,128662.984,1882281.1
379040.8,2544620.0,298281.9,342761.1
277477.9,2141301.2,338512.75,925239.6
487957.22,3912910.8,249407.6,476853.4
132170.17,270774.78,288131.9,2308553.2
208155.98,2123852.5,201728.17,1207751.4
484431.66,3177215.0,442786.8,3364446.5
170023.67,1766406.9,452676.84,437075.56
375918.47,895389.56,297057.0,3747407.8
268588.9,3419437.0,451212.38,4012678.0
230326.48,1789485.6,422920.53,1881121.9
504720.75,568073.94,437630.34,1290750.1
226704.89,4013493.5,340877.0,4097714.5
307415.1,4134931.0,259287.34,2432765.5
258372.39,4696624.0,510940.16,678504.94
124493.625,1691005.4,84852.67,1426536.4
230244.61,4327226.0,249623.11,4674812.0
453437.78,1132833.6,490612.72,264375.12
225175.23,3388734.0,260933.17,3002261.0
363974.0,1504591.2,150544.19,1470721.0
361586.72,3467756.8,277570.53,1050292.9
370189.53,4556063.0,335484.22,4506763.0
249840.05,1109965.1,356598.28,3298503.5
252998.39,2417178.5,303833.9,2732335.0
331493.94,3838732.5,482380.4,3017533.5
281127.03,4947010.0,329571.4,2626477.5
417033.78,1253632.1,216672.92,2382502.5
281802.28,5122528.0,180690.25,4156238.0
229120.83,2930907.5,429578.47,3341211.0
243368.05,371389.84,280565.8,3937840.0
382306.78,2572749.8,357616.0,1391077.9
230664.33,2502618.0,403572.25,3877100.2
403153.66,2493799.2,348807.88,2193135.2
107879.25,1779081.4,248555.7,2866168.5
377969.0,4673406.0,185541.36,1165824.0
480321.16,4315505.0,186193.14,4453880.0
463483.16,3140720.5,321115.84,2900303.0
260797.38,3251698.0,259716.17,190956.4
265780.94,3194430.8,210415.64,2143793.8
449311.78,1094178.2,154330.81,990973.25
162725.3,3839569.8,245027.86,1153411.9
375848.97,2389495.5,318636.0,2081967.0
154467.98,4189104.0,487333.16,2308334.0
191729.12,98370.016,399704.0,1358525.6
268551.9,4828714.0,253910.69,3079192.2
201701.61,3835250.2,476422.12,3245087.8
148532.16,1041262.7,159230.89,59930.7
263024.3,2760220.5,216770.39,2392041.5
123123.17,793487.3,440404.1,2789081.0
276805.12,1239641.5,386305.72,225248.17
320715.22,3244816.5,473015.78,3086151.5
91805.43,1107470.2,204700.83,2289284.5
375368.4,264874.53,182510.53,2550678.0
360361.62,4957871.5,343647.16,2465518.5
131319.48,2212653.5,96805.43,977036.9
97415.0,2702584.0,101707.32,1789738.4
276253.22,1909806.6,258092.5,1999096.4
407207.94,1445911.6,341716.84,2472670.5
297673.53,271107.6,263978.16,4217390.0
433707.16,4705182.5,291540.3,366167.03
133785.16,1663746.1,333615.34,148592.0
426759.6,1267553.6,388100.66,631171.4
79419.766,1882885.9,108537.19,1878513.8
133860.72,1432072.2,128032.16,3760125.5
473673.22,2223062.2,447159.84,705299.94
283315.8,1169315.5,263036.53,4469247.0
392255.7,1318962.0,387211.03,1611584.9
378505.72,4691732.0,525935.1,1329879.1
363265.2,1353507.9,445131.4,3227265.2
316815.06,4524754.0,259819.25,2118096.0
298921.78,1974175.2,144608.14,4588816.5
308814.4,4724698.0,187009.28,2940248.5
225314.4,244069.5,309089.2,413108.78
148586.78,1638051.6,287411.47,3695280.2
172017.33,579816.2,174485.5,2380220.5
444443.22,4989138.5,221919.72,4385375.0
317684.34,708696.2,410295.16,4277664.0
232859.3,1972941.0,188923.8,1985033.4
364055.78,3125150.0,143310.5,1358770.2
153917.06,1443673.9,102041.37,1254820.9
284055.72,3172492.5,332465.16,3425658.0
154055.06,3221705.5,403853.78,4360084.5
217894.02,3063799.0,375849.34,2576976.8
284457.38,3064886.0,399500.44,3423392.0
402994.8,464586.47,151179.0,1670267.8
146419.73,1880043.1,432043.22,235126.05
364534.4,4207966.5,171693.92,3778269.5
305048.16,1525508.9,112742.63,3287591.5
340969.53,2602935.0,435794.22,4436703.5
98536.91,1809437.6,146764.56,2804016.0
242053.86,3345597.2,257881.7,2384955.0
403038.12,4373573.0,147401.55,3241520.0
203591.31,2743672.5,415604.22,1766354.1
221868.44,3655376.5,498916.0,3583884.5
272654.6,4506438.0,325775.6,3618540.0
299308.56,412318.47,304488.06,2025267.6
472048.06,1051743.4,289400.66,486586.1
396427.6,2801925.2,269386.03,2032740.1
495378.34,4185544.0,214410.42,926713.06
198766.1,4144304.5,426778.4,1701885.1
272641.22,4713915.0,442630.47,2689414.2
102296.71,606784.7,277332.1,1605655.9
356927.34,2193774.2,355931.78,1717463.2
